agent_id,name,score,soldCount,listing_age_days,owner_wallet,sig_listing_age_under_7d,sig_security_rate_missing,sig_offline_or_stale,sig_zero_sales,sig_zero_prior_payouts,sig_wallet_age_under_7d,sig_wallet_reused_across_listings,sig_self_review_detected,sig_sybil_review_pattern,sig_review_data_inconsistent,sig_endpoint_dead,sig_endpoint_wrong_status,owner_listing_count,endpoint,endpoint_failure_types,coverage_notes
5421,PixelBrief,85,10112,9.70,0xe7bbb197827048ba8fa7e908ec871b80568dbc25,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,triggered,1,https://pixelbrief.tech/v1/brand-kit,only_exact_scheme_advertised,
5776,ScoutGate,75,1641,8.41,0x03c4b193d2a42cb0624da3ac938c5917d5fc98c7,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,clean,clean,1,https://scoutgate-vercel-src.vercel.app/mcp,405_on_GET,
2023,Onchain Data Explorer,100,1602,34.31,0x1965fd3f81ea4cef81096280dd6706b1d62b37dc,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://www.oklink.com/api/v5/explorer/mcp/x402/get_contract_source,405_on_GET,
3118,CoinWM Open API,100,1566,21.15,0x5892fdcf50138cadaea18af8c20d021a91e5d4e0,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://api.coinwm.com/api/services/x-tweet-detail,only_exact_scheme_advertised,
2013,CoinAnk OpenAPI,100,1560,34.87,0xb5538ba5409d3b6286d7cc1df8d7c2556e0cba3c,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://open-api.coinank.com/api/etf/getUsBtcEtf,,
5137,记忆映画,75,1553,11.00,0x74962e162e2911ba252c717983e44eeda19c7866,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,not_evaluated,not_evaluated,1,,,endpoint_probe_skipped_no_endpoint
5175,Lumora Stock Data Hub,85,636,10.75,0xe6b2ddd762cd46ceea1c5c8c3fece66e73b1c499,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,triggered,1,https://us-stock-data-service-production.up.railway.app/v1/latest,GET_status_400,
5152,Quiver,100,590,10.92,0x65bb932d9987f1d1a98b8942a3fa98cb28ec073b,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://quiver-production-c3a8.up.railway.app/api/options-desk,only_exact_scheme_advertised,
6023,AgentFund,100,555,7.31,0xbb1f41f8548bb1c250cae8696319b50340781c89,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://agentfund.ink/api/asp/scan_xlayer_market,only_exact_scheme_advertised,
3345,这个能吃吗？,100,552,20.27,0xf33770bf8c9a772c489c482220c67b0a38ebee72,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://api.cliperx.com/food/analyze/image,"405_on_GET,only_exact_scheme_advertised",
2135,Newsliquid,100,500,27.28,0xaecc584042b9e476a116f9badd1589fd8a7184d7,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://x402.6551.io/okx/news_type,only_exact_scheme_advertised,
5047,Argus,60,343,11.94,0x53d724e6acd672ba08133bcd32b0412500bea79d,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,triggered,clean,clean,1,https://argus-agent-production-ab97.up.railway.app/okx/scan,empty_or_missing_PAYMENT_REQUIRED_header,
2012,Barker Yield Agent,100,343,34.88,0x83f15f5bea445109e255ab82622fbdfecd1e4c9f,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://mcp.barker.money/barker_defi_vaults,,
4543,健康生活,75,274,15.92,0xd434fa2f471cae9da2c31b2cd794aa864b1e09ae,clean,triggered,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,triggered,1,https://mcp.opcshop.xyz/mcp,405_on_GET,no_reviews_block_or_empty;sybil_review_pattern_skipped_no_reviewers
2118,Otto AI,100,221,28.87,0x05a7e4ff7d821c507c9a854f14b7fdc4aa3cddd1,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://xlayer.ottoai.services/yield-copilot,405_on_GET,
4451,Agent Output Verifier,75,192,16.40,0xe64c286b7c97902bd4bccce8d094da352517e86b,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,clean,clean,1,https://okx-ai-a2mcp-endpoint-tester.vercel.app/api/agent-output-verifier,only_exact_scheme_advertised,
1500,AlphaCopy,100,179,60.15,0x839295d42cf3b949d822c3de8c46e6910189a5f1,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://alphacopy.defimaxi.win/x402/signals/stream,,
1891,WorldCupCaller,85,174,38.71,0xe879e51d069a2ec86491d9c95231196773735747,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,triggered,not_evaluated,not_evaluated,1,,,endpoint_probe_skipped_no_endpoint
1719,OnChain Arb Scout,70,149,48.59,0x61e16826bc7c8ba3fc544f7e0fbff411cddc6fff,clean,clean,triggered,clean,clean,not_evaluated,clean,clean,clean,triggered,not_evaluated,not_evaluated,1,,,endpoint_probe_skipped_no_endpoint
4183,商业后台 · Dawning,75,131,17.56,0x9c0151367b772257d5037d313b0b39a4e81af304,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,not_evaluated,not_evaluated,1,,,endpoint_probe_skipped_no_endpoint
2123,Fan Token Intel MCP,100,122,28.01,0x5c7d2d8b47c262418c2ac35a04df574682a5ec62,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,clean,clean,1,https://x402.brunopessoa.com/v1/market-regime,"only_exact_scheme_advertised,405_on_POST",
1965,CertiK,100,105,35.88,0x0df8e47790d2c1ec3e8dc31abc1ea8720519042f,clean,clean,clean,clean,clean,not_evaluated,clean,clean,not_evaluated,clean,clean,clean,1,https://skills-for-okx.certik.com/api/services,,
4487,Proof Route Planner,75,80,16.14,0xaa1fa4222ff152e413e7db75c1df0283862d3110,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,clean,clean,1,https://okx-ai-a2mcp-endpoint-tester.vercel.app/api/agent-capability-router,only_exact_scheme_advertised,
5524,API2ASP Factory,75,77,9.49,0x7db2bcac1b61b5a9eb906b3c22c81200998fb8cc,clean,clean,clean,clean,clean,not_evaluated,clean,clean,triggered,clean,clean,clean,1,https://api2asp-factory.vercel.app/api/v1/analyze-openapi,only_exact_scheme_advertised,
5163,八字人生剧本,100,74,10.83,0xa4ecb7681d4fa61dd3ea95d2edfc5dd651cbd478,clean,clean,clean,clean,clean,not_evaluated,clean,clean,clean,clean,not_evaluated,not_evaluated,1,,,endpoint_probe_skipped_no_endpoint
